"Site","Year","Transect","initial.mass","final.mass","mass_lost_g"
"PI",2014,1,5,4.1,0.9
"PI",2014,2,5,3.9,1.1
"PI",2014,3,5,NA,NA
"PI",2014,4,5,3.37,1.63
"PI",2014,5,5,4.02,0.98
"PI",2014,6,5,3,2
"PI",2014,7,5,2.2,2.8
"PI",2014,8,5,3.01,1.99
"PI",2014,9,5,3.44,1.56
"PI",2014,10,5,4.3,0.7
"PI",2014,11,5,3.06,1.94
"PI",2014,12,5,2.96,2.04
"PI15",2015,1,5,4.3,0.7
"PI15",2015,2,5,NA,NA
"PI15",2015,3,5,3.8,1.2
"PI15",2015,4,5,3.5,1.5
"PI15",2015,5,5,2.91,2.09
"PI15",2015,6,5,3.33,1.67
"PI15",2015,7,5,3.8,1.2
"PI15",2015,8,5,3.1,1.9
"PI15",2015,9,5,3.37,1.63
"PI15",2015,10,5,4.02,0.98
"PI15",2015,11,5,3,2
"PI15",2015,12,5,4.32,0.68
"SQ",2015,1,5,NA,NA
"SQ",2015,2,5,3.44,1.56
"SQ",2015,3,5,4.3,0.7
"SQ",2015,4,5,3.06,1.94
"SQ",2015,5,5,2.96,2.04
"SQ",2015,6,5,3.25,1.75
"SQ",2015,7,5,2.94,2.06
"SQ",2015,8,5,3.2,1.8
"SQ",2015,9,5,3.5,1.5
"SQ",2015,10,5,1.9,3.1
"SQ",2015,11,5,3.11,1.89
"SQ",2015,12,5,3.3,1.7
"W",2015,1,5,2.4,2.6
"W",2015,2,5,2.75,2.25
"W",2015,3,5,2.45,2.55
"W",2015,4,5,2.7,2.3
"W",2015,5,5,3.34,1.66
"W",2015,6,5,2.24,2.76
"W",2015,7,5,3.9,1.1
"W",2015,8,5,1.2,3.8
"W",2015,9,5,2.62,2.38
"W",2015,10,5,2.1,2.9
"W",2015,11,5,3.37,1.63
"W",2015,12,5,1.3,3.7
"N",2014,1,5,3.04,1.96
"N",2014,2,5,2.66,2.34
"N",2014,3,5,3.32,1.68
"N",2014,4,5,4,1
"N",2014,5,5,2.24,2.76
"N",2014,6,5,2.1,2.9
"N",2014,7,5,2.7,2.3
"N",2014,8,5,3.5,1.5
"N",2014,9,5,3.1,1.9
"N",2014,10,5,2.33,2.67
"N",2014,11,5,3.5,1.5
"N",2014,12,5,1.9,3.1
"EP",2015,1,5,3.11,1.89
"EP",2015,2,5,2.1,2.9
"EP",2015,3,5,2.4,2.6
"EP",2015,4,5,NA,NA
"EP",2015,5,5,2.66,2.34
"EP",2015,6,5,3.32,1.68
"EP",2015,7,5,3,2
"EP",2015,8,5,2.24,2.76
"EP",2015,9,5,2.9,2.1
"EP",2015,10,5,2.7,2.3
"EP",2015,11,5,3.5,1.5
"EP",2015,12,5,3.33,1.67
"M",2015,1,5,2.62,2.38
"M",2015,2,5,2.91,2.09
"M",2015,3,5,2.8,2.2
"M",2015,4,5,2.7,2.3
"M",2015,5,5,2.65,2.35
"M",2015,6,5,2.2,2.8
"M",2015,7,5,3.01,1.99
"M",2015,8,5,3.44,1.56
"M",2015,9,5,3.3,1.7
"M",2015,10,5,3.06,1.94
"M",2015,11,5,2.96,2.04
"M",2015,12,5,3.25,1.75
"GC",2014,1,5,2.94,2.06
"GC",2014,2,5,2.37,2.63
"GC",2014,3,5,3.5,1.5
"GC",2014,4,5,1.9,3.1
"GC",2014,5,5,3.11,1.89
"GC",2014,6,5,3.3,1.7
"GC",2014,7,5,3.1,1.9
"GC",2014,8,5,3.04,1.96
"GC",2014,9,5,2.66,2.34
"GC",2014,10,5,3.32,1.68
"GC",2014,11,5,4,1
"GC",2014,12,5,2.24,2.76
"RI",2014,1,5,NA,NA
"RI",2014,2,5,2.7,2.3
"RI",2014,3,5,NA,NA
"RI",2014,4,5,NA,NA
"RI",2014,5,5,2.33,2.67
"RI",2014,6,5,NA,NA
"RI",2014,7,5,NA,NA
"RI",2014,8,5,3.89,1.11
"RI",2014,9,5,2.72,2.28
"RI",2014,10,5,NA,NA
"RI",2014,11,5,2.6,2.4
"RI",2014,12,5,NA,NA
